week_start_date,state_code,product_launch_flag,actual_units,base_units,wd_velo_plus_units,wd_legacy_trifecta_units,wd_comp_zyn_units,discount_units,rewards_units,ipa_units,dm_units,email_units,sms_units,search_units,sponsorship_units,ipa_strat_cities_units,audio_units,display_units,video_units,gstv_units,ooh_units,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,wtd_pts_dist_velo_plus,wtd_pts_dist_legacy_trifecta,wtd_pts_dist_comp_zyn,discount,rewards_enrollments,impressions_3p_ipa,dm_sent,email_click,sms_sent,Search_clicks,total_brand_eq_100_pct_amt,strat_city,Audio_impressions,Display_impressions,GSTV_impressions,OOH_impressions,Video_impressions,avg_price_per_unit,Audio_spends,Display_spends,GSTV_spends,OOH_spends,Search_spends,Video_spends,DM_spends,Rewards_spends,IPA_spends,Strat City_spends,actual_revenue,base_revenue,wd_velo_plus_revenue,wd_legacy_trifecta_revenue,wd_comp_zyn_revenue,discount_revenue,rewards_revenue,ipa_revenue,dm_revenue,email_revenue,sms_revenue,search_revenue,sponsorship_revenue,ipa_strat_cities_revenue,audio_revenue,display_revenue,video_revenue,gstv_revenue,ooh_revenue
2023-01-02,MS,0,984,1172.10732,0.0,311.6157915,-431.8473941,164.6200444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,84,868,0.78,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3640.8,4336.797084,0.0,1152.978429,-1597.835358,609.0941643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,MT,0,1486,1362.651659,0.0,357.7984817,-315.597874,115.6465901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,234,1853,0.79,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.772,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5605.192,5139.922058,0.0,1349.615873,-1190.435181,436.2189379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,NC,0,7808,7159.163219,0.0,1993.438384,-1941.290012,1479.995311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,186,1164,1.08,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.486,0.0,0.0,0.0,0.0,0.0,0.0,,,,,27218.688,24956.84298,0.0,6949.126207,-6767.336982,5159.263654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,ND,0,1231,1360.856969,0.0,463.0934349,-578.0247482,134.7037238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,305,1379,1.16,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.657,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4501.767,4976.653936,0.0,1693.532691,-2113.836504,492.6115179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,NE,0,2014,2173.776611,0.0,551.9508438,-781.7170772,382.3562759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,240,1123,1.06,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.684,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7419.576,8008.193035,0.0,2033.386909,-2879.845712,1408.60052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,NH,0,1641,1581.989769,0.0,365.0678635,-396.7014949,225.9911055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,206,1219,2.17,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.202,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8536.482,8229.510778,0.0,1899.083026,-2063.641176,1175.605731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,NJ,0,3191,3866.988448,0.0,972.6999783,-1403.705153,359.1173435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,174,1142,1.01,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.752,0.0,0.0,0.0,0.0,0.0,0.0,,,,,15163.632,18375.9291,0.0,4622.270297,-6670.406887,1706.525616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,NM,0,1123,1616.779902,0.0,939.2474549,-1408.245601,64.7477027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,125,1325,0.37,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.683,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4136.009,5954.600379,0.0,3459.248376,-5186.568548,238.465789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,NV,0,2973,3078.030566,0.0,808.2718705,-1076.561561,442.7999872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,254,1483,1.15,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.586,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10661.178,11037.81761,0.0,2898.462928,-3860.549758,1587.880754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,NY,0,14233,14328.16249,0.0,3930.27017,-2789.293796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,295,1132,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.223,0.0,0.0,0.0,0.0,0.0,0.0,,,,,45872.959,46179.66771,0.0,12667.26076,-8989.893905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
